year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2022,7,1,9,2129,160,118,2312,126,B6,325,N229JB,JFK,BNA,106,765,21,29,2022-07-01T21:00:00Z
2022,7,1,12,1940,272,315,2253,262,B6,20,N591JB,JFK,RNO,333,2411,19,40,2022-07-01T19:00:00Z
2022,7,1,21,2120,181,140,2240,180,WN,548,N8651A,LGA,MDW,112,725,21,20,2022-07-01T21:00:00Z
2022,7,1,21,2159,142,225,21,124,B6,286,N537JT,JFK,ATL,101,760,21,59,2022-07-01T21:00:00Z
2022,7,1,22,2140,162,310,53,137,B6,500,N923JB,JFK,LAX,321,2475,21,40,2022-07-01T21:00:00Z
2022,7,1,23,2110,193,203,2259,184,YX,955,N130HQ,JFK,RDU,77,427,21,10,2022-07-01T21:00:00Z
2022,7,1,23,2100,203,NA,3,NA,B6,175,N562JB,LGA,FLL,NA,1076,21,0,2022-07-01T21:00:00Z
2022,7,1,39,1457,582,135,1626,549,B6,336,N324JB,JFK,BOS,40,187,14,57,2022-07-01T14:00:00Z
2022,7,1,44,2155,169,134,2308,146,B6,208,N354JB,JFK,ORH,30,150,21,55,2022-07-01T21:00:00Z
2022,7,1,57,1700,477,159,1829,450,B6,340,N238JB,LGA,BOS,41,184,17,0,2022-07-01T17:00:00Z
2022,7,1,101,2255,126,225,18,127,B6,389,N648JB,JFK,BOS,38,187,22,55,2022-07-01T22:00:00Z
2022,7,1,103,2159,184,223,2340,163,B6,683,N568JB,JFK,RDU,63,427,21,59,2022-07-01T21:00:00Z
2022,7,1,106,1720,466,157,1845,432,WN,244,N408WN,LGA,BWI,37,185,17,20,2022-07-01T17:00:00Z
2022,7,1,120,2200,200,221,2252,209,YX,878,N632RW,EWR,PHL,21,80,22,0,2022-07-01T22:00:00Z
2022,7,1,149,2030,319,400,2307,293,B6,23,N657JB,JFK,DEN,230,1626,20,30,2022-07-01T20:00:00Z
2022,7,1,208,2229,219,326,2356,210,B6,142,N239JB,JFK,ROC,49,264,22,29,2022-07-01T22:00:00Z
2022,7,1,414,1955,499,743,2315,508,AS,99,N596AS,EWR,SFO,343,2565,19,55,2022-07-01T19:00:00Z
2022,7,1,454,500,-6,608,629,-21,UA,693,N63890,EWR,ORD,111,719,5,0,2022-07-01T05:00:00Z
2022,7,1,457,505,-8,827,853,-26,B6,468,N2044J,JFK,SJU,190,1598,5,5,2022-07-01T05:00:00Z
2022,7,1,502,500,2,648,646,2,AA,673,N901NN,EWR,CLT,72,529,5,0,2022-07-01T05:00:00Z
2022,7,1,527,530,-3,630,647,-17,UA,213,N14102,EWR,IAD,41,212,5,30,2022-07-01T05:00:00Z
2022,7,1,543,545,-2,817,856,-39,NK,161,N946NK,EWR,FLL,137,1065,5,45,2022-07-01T05:00:00Z
2022,7,1,548,555,-7,804,854,-50,AA,465,N917NN,LGA,DFW,177,1389,5,55,2022-07-01T05:00:00Z
2022,7,1,551,600,-9,707,726,-19,YX,1047,N433YX,LGA,BNA,107,764,6,0,2022-07-01T06:00:00Z
2022,7,1,553,600,-7,656,725,-29,AA,579,N750UW,LGA,DCA,40,214,6,0,2022-07-01T06:00:00Z
2022,7,1,554,600,-6,756,810,-14,DL,555,N948AT,EWR,ATL,103,746,6,0,2022-07-01T06:00:00Z
2022,7,1,554,600,-6,844,912,-28,NK,37,N685NK,LGA,FLL,152,1076,6,0,2022-07-01T06:00:00Z
2022,7,1,555,600,-5,725,735,-10,WN,756,N952WN,LGA,STL,124,888,6,0,2022-07-01T06:00:00Z
2022,7,1,555,600,-5,711,754,-43,9E,979,N922XJ,LGA,STL,118,888,6,0,2022-07-01T06:00:00Z
2022,7,1,555,600,-5,714,729,-15,AA,671,N344PP,EWR,ORD,107,719,6,0,2022-07-01T06:00:00Z
2022,7,1,556,600,-4,838,838,0,B6,78,N612JB,EWR,MCO,125,937,6,0,2022-07-01T06:00:00Z
2022,7,1,557,600,-3,738,734,4,DL,171,N101DU,LGA,ORD,112,733,6,0,2022-07-01T06:00:00Z
2022,7,1,557,605,-8,737,755,-18,DL,346,N337NB,LGA,DTW,78,502,6,5,2022-07-01T06:00:00Z
2022,7,1,557,600,-3,726,745,-19,AA,762,N924NN,LGA,ORD,111,733,6,0,2022-07-01T06:00:00Z
2022,7,1,557,600,-3,908,859,9,B6,37,N638JB,LGA,FLL,154,1076,6,0,2022-07-01T06:00:00Z
2022,7,1,557,600,-3,808,824,-16,DL,128,N103DY,LGA,ATL,106,762,6,0,2022-07-01T06:00:00Z
2022,7,1,557,600,-3,731,751,-20,DL,166,N980AT,EWR,DTW,78,488,6,0,2022-07-01T06:00:00Z
2022,7,1,558,605,-7,800,820,-20,UA,74,N61898,EWR,DEN,222,1605,6,5,2022-07-01T06:00:00Z
2022,7,1,558,600,-2,708,717,-9,YX,1297,N222JQ,LGA,DCA,41,214,6,0,2022-07-01T06:00:00Z
2022,7,1,558,600,-2,917,922,-5,AA,369,N883NN,LGA,MIA,156,1096,6,0,2022-07-01T06:00:00Z
2022,7,1,559,600,-1,841,843,-2,UA,694,N444UA,LGA,IAH,202,1416,6,0,2022-07-01T06:00:00Z
2022,7,1,559,600,-1,708,712,-4,B6,51,N316JB,LGA,BOS,41,184,6,0,2022-07-01T06:00:00Z
2022,7,1,600,600,0,910,908,2,AA,388,N335RT,JFK,MIA,158,1089,6,0,2022-07-01T06:00:00Z
2022,7,1,600,600,0,844,820,24,DL,118,N693DL,JFK,ATL,109,760,6,0,2022-07-01T06:00:00Z
